Nachname,Vorname,Selbstzugeschriebenes Geschlecht,Veto
Aaa,Josué,männlich,divers
Bbb,Franziska,weiblich,weiblich
Ccc,Amine,männlich,divers
Ddd,Leonce,männlich,weiblich
Eee,Artur,männlich,weiblich
Fff,Philip,männlich,weiblich
Ggg,Lina,weiblich,männlich
Hhh,Moritz,männlich,weiblich
Iii,Maren,weiblich,
Jjj,Duro,männlich,weiblich
Kkk,Ediz,männlich,divers
Lll,Matthias,männlich,weiblich
Mmm,Christian,männlich,weiblich
Nnn,Justus,männlich,weiblich
Ooo,Snehal,männlich,weiblich
Ppp,Emilia,weiblich,
Qqq,Niclas,männlich,
Rrr,Noah,männlich,
Sss,Charlotta,weiblich,
Ttt,Luca,männlich,
Uuu,Arshia,männlich,
Vvv,Johannes,männlich,
Www,Moussa,männlich,
Xxx,Vincent,männlich,
Yyy,Ronit,männlich,
Zzz,Jonas,männlich,
Äää,Janis,männlich,
Ööö,Lena,weiblich,
Üüü,Soufiane,männlich,
Abb,Deniz-Burak,männlich,
Acc,Floriane,weiblich,
