Antwort ID,Datum Abgeschickt,Letzte Seite,Start-Sprache,Zufallsstartwert,Geben Sie ihren Vor- und Nachnamen an. [Vorname],Geben Sie ihren Vor- und Nachnamen an. [Nachname],Welches Geschlecht schreiben Sie sich selbst zu?,"Gibt es ein Geschlecht, das Sie auf keine Fall spielen wollen?"
1,1980-01-01 00:00:00,1,de,125241835,Josué,Aaa,Männlich,Divers
2,1980-01-01 00:00:00,1,de,488343098,Franziska,Bbb,Weiblich,Weiblich
3,1980-01-01 00:00:00,1,de,812157602,Amine,Ccc,Weiblich,Divers
4,1980-01-01 00:00:00,1,de,566081865,Leonce,Ddd,Weiblich,Weiblich
5,1980-01-01 00:00:00,1,de,918364738,Artur,Eee,Männlich,Weiblich
6,1980-01-01 00:00:00,1,de,200215825,Philip,Fff,Männlich,Weiblich
7,1980-01-01 00:00:00,1,de,646481836,Lina,Ggg,Weiblich,Männlich
8,1980-01-01 00:00:00,1,de,974227542,Moritz,Hhh,Männlich,Weiblich
9,1980-01-01 00:00:00,1,de,249337914,Maren,Iii,Weiblich,
10,1980-01-01 00:00:00,1,de,660448933,Duro,Jjj,Männlich,Weiblich
11,1980-01-01 00:00:00,1,de,405525882,Ediz,Kkk,Männlich,Divers
12,1980-01-01 00:00:00,1,de,142230082,Matthias,Lll,Männlich,Weiblich
13,1980-01-01 00:00:00,1,de,562656288,Christian,Mmm,Männlich,Weiblich
14,1980-01-01 00:00:00,1,de,625629244,Justus,Nnn,Männlich,Weiblich
15,1980-01-01 00:00:00,1,de,131000570,Snehal,Ooo,Männlich,Weiblich
16,1980-01-01 00:00:00,1,de,767952890,Emilia,Ppp,Weiblich,
17,1980-01-01 00:00:00,1,de,379681466,Niclas,Qqq,Männlich,
18,1980-01-01 00:00:00,1,de,307555868,Noah,Rrr,Weiblich,
19,1980-01-01 00:00:00,1,de,675010458,Charlotta,Sss,Weiblich,
20,1980-01-01 00:00:00,1,de,776341220,Luca,Ttt,Weiblich,
21,1980-01-01 00:00:00,1,de,237049734,Arshia,Uuu,Weiblich,
22,1980-01-01 00:00:00,1,de,258288622,Johannes,Vvv,Männlich,
23,1980-01-01 00:00:00,1,de,230512421,Moussa,Www,Männlich,
24,1980-01-01 00:00:00,1,de,623876075,Vincent,Xxx,Männlich,
25,1980-01-01 00:00:00,1,de,911193179,Ronit,Yyy,Divers,Männlich
26,1980-01-01 00:00:00,1,de,864065987,Jonas,Zzz,Männlich,
27,1980-01-01 00:00:00,1,de,520113272,Janis,Äää,Divers,Männlich
28,1980-01-01 00:00:00,1,de,709736757,Lena,Ööö,Weiblich,
29,1980-01-01 00:00:00,1,de,547804246,Soufiane,Üüü,Weiblich,
30,1980-01-01 00:00:00,1,de,143918201,Deniz-Burak,Abb,Männlich,
31,1980-01-01 00:00:00,1,de,231378535,Floriane,Acc,Weiblich,
